symbol,price,amount
REI/USDT,0.06701897744655815,10198.0
LDO/USDT,1.6531170406189555,517.0
OP/USDT,2.314865014005602,357.0
LEVER/USDT,0.002317,18446.0
STG/USDT,0.3749662318113397,1993.0
GMX/USDT,28.523146666666666,24.0
POLYX/USDT,0.3595343599033816,2484.0
APT/USDT,12.33,60.0
OSMO/USDT,0.5580559254658385,1288.0
HFT/USDT,0.2226931558139535,4300.0
HOOK/USDT,0.553214900888585,1463.0
MAGIC/USDT,0.5201348301886792,1590.0
HIFI/USDT,0.714716401050788,1142.0
RPL/USDT,13.271567857142857,56.0
PROS/USDT,0.7189539312039313,814.0
GNS/USDT,2.355482018927445,317.0
SYN/USDT,0.5541449032258065,1085.0
LQTY/USDT,1.5403303278688525,610.0
AMB/USDT,0.0079,18446.0
USTC/USDT,0.02464681828038599,18446.0
PROM/USDT,6.218362040816326,98.0
UFT/USDT,0.3073715479331574,2274.0
ID/USDT,0.5346527480371164,1401.0
ARB/USDT,0.892,1033.0
RDNT/USDT,0.07502768859685602,12023.0
EDU/USDT,0.6096540611353711,1145.0
SUI/USDT,3.4219490625,256.0
AERGO/USDT,0.138746082530449,5501.0
FLOKI/USDT,0.00021685,18446.0
WBETH/USDT,3737.69313,1.0
AST/USDT,0.1004,6478.0
COMBO/USDT,0.4857537097927091,1399.0
MAV/USDT,0.24252044348296375,3698.0
PENDLE/USDT,5.3088050420168065,119.0
ARKM/USDT,2.2352555555555558,306.0
WLD/USDT,2.680548788927336,289.0
FDUSD/USDT,0.99399658,10000.0
SEI/USDT,0.6379371559633028,1417.0
CYBER/USDT,4.2225308287292815,181.0
ARK/USDT,0.7019439177101968,1118.0
CREAM/USDT,17.359638918918918,37.0
GFT/USDT,0.006549256207307817,18446.0
IQ/USDT,0.008641,18446.0
NTRN/USDT,0.5476203311258279,1510.0
TIA/USDT,8.132042608695652,115.0
MEME/USDT,0.01452134554917055,18446.0
ORDI/USDT,40.04441333333333,15.0
BEAMX/USDT,0.024109781524449744,18446.0
VIC/USDT,0.4479321122071517,1622.0
BLUR/USDT,0.3110539836448598,2568.0
VANRY/USDT,0.13021758072783188,7804.0
AEUR/USDT,1.0535,458.0
JTO/USDT,3.462348828125,256.0
1000SATS/USDT,0.0002548,18446.0
ACE/USDT,2.810085,280.0
NFP/USDT,0.29453577885952714,2876.0
AI/USDT,0.6385538116591928,1561.0
XAI/USDT,0.34120728687654756,2827.0
MANTA/USDT,1.180648736462094,831.0
ALT/USDT,0.13396456048738034,5745.0
JUP/USDT,1.0891340510948906,548.0
PYTH/USDT,0.47144823962516735,1494.0
RONIN/USDT,1.8216474809160306,393.0
DYM/USDT,2.1693508997429305,389.0
PIXEL/USDT,0.22902614321962222,3547.0
STRK/USDT,0.6109290235131397,1446.0
PORTAL/USDT,0.38942534170153414,2151.0
PDA/USDT,0.05037514271966837,13509.0
AXL/USDT,0.8815800277777778,756.0
WIF/USDT,3.0117135416666665,240.0
METIS/USDT,57.27316230769231,13.0
AEVO/USDT,0.4549379668949772,1752.0
BOME/USDT,0.008757813455491705,18446.0
ETHFI/USDT,2.3472652284263957,394.0
ENA/USDT,0.6949263861927546,1463.0
W/USDT,0.29473228675873275,2462.0
TNSR/USDT,0.6197463983628922,1466.0
SAGA/USDT,2.1807440433212997,277.0
TAO/USDT,557.98782,1.0
OMNI/USDT,10.705802857142857,70.0
REZ/USDT,0.05223449913793103,16240.0
BB/USDT,0.4051083768844221,1990.0
NOT/USDT,0.008555,18446.0
IO/USDT,2.8348490881458965,329.0
ZK/USDT,0.17757391098484848,4224.0
LISTA/USDT,0.5579305226480836,1435.0
ZRO/USDT,4.604498834355828,163.0
G/USDT,0.03557663279471376,18009.0
BANANA/USDT,66.70009,10.0
RENDER/USDT,8.109987699115043,113.0
TON/USDT,6.466522685185185,108.0
DOGS/USDT,0.0007298,18446.0
EURI/USDT,1.053695119825708,459.0
SLF/USDT,0.4613397912423625,1964.0
POL/USDT,0.5510436905478627,1661.0
NEIRO/USDT,0.00167152,18446.0
TURBO/USDT,0.007064412013444649,18446.0
1MBABYDOGE/USDT,0.0023004,18446.0
CATI/USDT,0.5453544522144522,1716.0
HMSTR/USDT,0.003752,18446.0
EIGEN/USDT,3.607161961722488,209.0
BNSOL/USDT,238.35106666666667,3.0
SCR/USDT,0.8025109393579073,841.0
LUMIA/USDT,1.51454786,500.0
KAIA/USDT,0.18950777022274326,4265.0
TUSD/USDT,1.0021,3206.0
USDC/USDT,0.9998,449.0
ATOM/USDT,7.91934487804878,123.0
YFI/USDT,7304.2932,0.1
WBTC/USDT,94786.63628704721,0.07288
UNFI/USDT,,0.0
SKL/USDT,0.07301772468162522,8245.0
KP3R/USDT,,0.0
XRP/USDT,1.4768,67.0
ADA/USDT,1.0015,99.8
XRP/USDT,1.4721,67.0
DOGE/USDT,0.41113037190082646,242.0
XRP/USDT,1.6612,60.0
XLM/USDT,0.5273,189.0
XLM/USDT,0.5270708994708995,189.0
BONK/USDT,4.6927685231564e-05,2132196.0
SOL/USDT,238.09,0.42
FLOKI/USDT,0.000241630088490865,413376.0
ADA/USDT,1.0645,99.8
WBTC/USDT,96615.23115141431,0.0601
BONK/USDT,4.6902995518653e-05,2130833.0
FLOKI/USDT,0.00024568299855019,406950.0
DOGE/USDT,0.4334026446280992,242.0
BONK/USDT,4.6830204180602e-05,2136295.0
XRP/USDT,1.9201,52.0
SOL/USDT,236.98618483412324,0.422
FLOKI/USDT,0.000245942402131206,406718.0
SHIB/USDT,3.1880997174864e-05,3135779.0
SOL/USDT,236.9564726840855,0.842
FLOKI/USDT,0.000245315001826889,407797.0
ETH/USDT,3723.5,0.0268
