ts,symbol,price,reason_event,block_macdh_leq0,block_not_in_lane,block_edge,block_adx_gray,rsi,macdh,adx,rvol,atr_pct,ema_fast,ema_slow,mfe_1h,mfe_6h,mfe_24h
2025-10-26T04:00:00Z,SOL/USDT,193.34,Breakout_macd_leq0,1,1,1,0,50.70718245994098,-0.007837865899373186,27.244050091019602,0.5823826372942632,0.0028228556616016524,193.19011178197474,193.37204956416548,0.083,1.598,2.617
2025-10-26T02:45:00Z,ETH/USDT,3930.55,ADX_gray_push,1,1,1,1,36.785284305963515,-2.966391660999818,21.697052921456358,0.6162836513935643,0.0022799276883567533,3944.44971663093,3945.4613364651204,0.152,0.949,3.801
2025-10-26T01:30:00Z,SOL/USDT,193.56,ADX_gray_push,1,1,1,1,46.59508274731434,-0.12977810188092118,20.0417755025961,0.554453305817362,0.0026266992156572843,193.8424380836586,193.65951270864588,0.052,0.387,2.501
2025-10-26T01:00:00Z,BTC/USDT,111795.74,ADX_gray_push,0,0,1,1,60.02385194238956,26.426642406941255,21.287723437334904,1.4277795124948944,0.0011114380250097828,111624.8974827398,111549.11952507883,0.036,0.036,1.817
2025-10-26T00:45:00Z,BTC/USDT,111715.98,ADX_gray_push,0,0,1,1,56.705595667685614,25.36111686492205,20.199085487336127,2.7281297811563254,0.001099427116309037,111606.91405987031,111539.05338324531,0.164,0.164,1.89
2025-10-26T00:30:00Z,BTC/USDT,111844.64,ADX_gray_push,0,0,1,1,64.75695303765455,29.199763396587297,19.012246084805007,2.619731891487727,0.0010412039746992817,111595.4334345935,111531.8318886839,0.049,0.049,1.772
2025-10-26T00:15:00Z,BTC/USDT,111742.26,ADX_gray_push,0,0,1,1,60.62611305792127,19.41301990625807,17.206867211959832,2.1146415314124454,0.001017866521951318,111569.20116455072,111519.06421067099,0.141,0.141,1.866
2025-10-25T19:00:00Z,BTC/USDT,111605.48,ADX_gray_push,0,0,1,1,54.77556005110874,35.81271403700893,20.665269997757438,0.5879432623257084,0.0011762843147459217,111510.73763796891,111464.75362832505,0.103,0.263,1.991
2025-10-25T18:45:00Z,BTC/USDT,111719.98,ADX_gray_push,0,0,1,1,61.170352151303476,37.58557647047665,19.988287078447076,1.1070095996504807,0.0011866184461238587,111500.7647577551,111459.0096947873,0.0,0.161,1.886
2025-10-25T18:30:00Z,BTC/USDT,111670.23,ADX_gray_push,0,0,1,1,59.25097769268379,26.051172621433025,19.259228549958994,1.181309156947447,0.001195805134291896,111477.68946909774,111448.35784559493,0.055,0.188,1.931
2025-10-25T18:30:00Z,ETH/USDT,3961.75,ADX_gray_push,0,0,1,1,69.54404379231435,2.4346884738993966,20.85075428034825,4.84206432056959,0.0021190244713388488,3939.2593608775665,3937.7905455417094,0.189,0.189,2.983
2025-10-25T18:15:00Z,SOL/USDT,193.92,ADX_gray_push,0,1,1,1,64.50245062011587,0.21397935073941154,21.092280243771743,2.2358680039969756,0.002996547121775319,192.5743494669094,192.81473459926792,0.34,0.511,2.31
2025-10-25T18:15:00Z,ETH/USDT,3945.56,ADX_gray_push,0,0,1,1,58.96279745206763,0.9957504571695954,18.13485076846934,0.9391706394358217,0.0018299173441027373,3936.891925180468,3936.812608625044,0.6,0.6,3.406
2025-10-25T18:00:00Z,SOL/USDT,193.27,ADX_gray_push,0,1,1,1,58.93334817921845,0.13367560788787158,20.079123861106098,1.3498149531258348,0.002788154415292032,192.43270204237356,192.76962172576864,0.564,0.849,2.654
2025-10-25T17:00:00Z,SOL/USDT,192.37,Breakout_macd_leq0,1,1,1,0,48.10377075550978,-0.009167752293179343,23.127543786512383,0.4813231893123409,0.002901885360968547,192.35930315070368,192.8068553084125,0.494,1.32,3.135
2025-10-25T17:00:00Z,ETH/USDT,3938.98,Breakout_macd_leq0,1,1,1,1,52.05057687933382,-0.48554831610162696,21.74784351447735,0.617426023348168,0.0018785357087694765,3936.488030713423,3936.7380890389463,0.01,0.768,3.579
2025-10-25T12:00:00Z,SOL/USDT,193.35,Breakout_macd_leq0,1,1,1,0,51.622176949603606,-0.01343766973408611,28.110460315391492,0.730026497119245,0.0031877673227397934,193.06788030210453,193.28846724714643,0.45,0.45,2.529
2025-10-25T07:30:00Z,ETH/USDT,3930.79,ADX_gray_push,0,0,1,1,50.88788184244481,0.79303582163365,19.30226031312737,4.132432589593688,0.0024287315056628123,3930.303794069919,3928.4218330629033,0.758,0.758,0.978
2025-10-25T03:00:00Z,BTC/USDT,111054.67,ADX_gray_push,1,0,1,1,55.71746751559301,-0.015156031690395366,20.83506688395565,1.0748819131029852,0.0015276369598992048,110950.56926931374,110850.62851022815,0.131,0.716,0.8
2025-10-25T02:45:00Z,BTC/USDT,111025.77,ADX_gray_push,1,0,1,1,54.68403489580263,-1.8586472217713492,19.38893398230244,0.7556859186228275,0.0015765688788077973,110939.61129766256,110842.30028615583,0.1,0.716,0.826
2025-10-25T01:30:00Z,SOL/USDT,193.62,ADX_gray_push,1,0,1,1,56.59637706885336,-0.044940822499840216,21.34646683842485,0.972062237586347,0.0035753504128446766,193.23055000708283,192.73544937835456,0.449,0.666,0.842
2025-10-25T01:15:00Z,SOL/USDT,193.88,ADX_gray_push,1,0,1,1,60.25852372704815,-0.06431299712501931,20.489520557718883,3.1915198492152177,0.003484165803228726,193.1895552709863,192.69934527134862,0.315,0.449,0.707
2025-10-24T20:15:00Z,SOL/USDT,193.69,ADX_gray_push,0,0,1,1,66.17263085429852,0.33627511111180763,21.973208972636787,0.20911200670618404,0.004162381139002995,192.13870167327073,191.85305422701768,0.232,0.413,0.805
2025-10-24T20:00:00Z,SOL/USDT,193.56,ADX_gray_push,0,0,1,1,65.37560394955702,0.3474403333876511,20.667618254673105,0.6484616971634294,0.004330584211371101,191.9754071125624,191.7780768485286,0.3,0.48,0.873
2025-10-24T19:45:00Z,SOL/USDT,193.09,ADX_gray_push,0,0,1,1,62.401582120999024,0.34767500231466486,19.367334529757297,0.38547801712908003,0.004276678599195219,191.8086078612532,191.70534529132567,0.544,0.725,1.119
2025-10-24T19:30:00Z,SOL/USDT,193.51,ADX_gray_push,0,0,1,1,67.1904902315151,0.36633244457365405,18.29877773608771,1.0321864515564454,0.00433329789756859,191.6737244782272,191.64882877260428,0.326,0.506,0.899
2025-10-24T16:45:00Z,ETH/USDT,3889.12,ADX_gray_push,1,1,1,1,38.388229214962784,-4.945042270696771,21.02297907907587,0.48477338800462283,0.005692935708704966,3914.0296302052748,3924.040697956714,0.391,1.443,1.837
2025-10-24T13:00:00Z,BTC/USDT,111205.38,ADX_gray_push,1,0,1,1,51.739798444469336,-7.74524212963756,17.730822405801543,0.8958234325522557,0.002941421226692928,111176.87077943879,110939.16225408834,0.221,0.221,0.663
2025-10-24T12:45:00Z,SOL/USDT,193.66,ADX_gray_push,0,0,1,1,61.131408586115064,0.1858670970439949,20.531025006116526,0.9754208779558725,0.005129427048685563,192.61496996537153,192.2308835112557,0.32,0.32,0.821
2025-10-24T12:45:00Z,BTC/USDT,111297.01,ADX_gray_push,1,0,1,1,53.99115717392145,-4.000524145898723,17.36095117164444,1.0500992509946154,0.002947550407662379,111173.86980885339,110928.29622364296,0.252,0.252,0.581
2025-10-24T12:30:00Z,SOL/USDT,194.04,ADX_gray_push,0,0,1,1,65.80577311905245,0.1527439411514622,18.421818666498343,9.485134472453574,0.00505332278494452,192.50496680383168,192.17255222600085,1.525,1.525,1.525
2025-10-24T11:45:00Z,SOL/USDT,192.13,ADX_gray_push,1,1,1,1,48.524578541162455,-0.09937677720854814,18.69662216863796,0.9519356545200017,0.0037518460921917834,192.2082894839314,192.02512036082956,2.535,2.535,2.535
2025-10-24T05:00:00Z,BTC/USDT,111135.1,ADX_gray_push,0,0,1,1,68.93398652905327,62.41300889770616,21.9893186756994,1.0429621879782571,0.002480710336330589,110624.56273506489,110278.08529423962,0.158,0.348,0.873
2025-10-24T04:45:00Z,BTC/USDT,111178.55,ADX_gray_push,0,0,1,1,70.70810988669027,61.04831301726662,20.791908905376165,0.9956259713321474,0.0024892432233402794,110570.82197033487,110243.10510216776,0.124,0.309,0.833
2025-10-24T04:30:00Z,BTC/USDT,111133.57,ADX_gray_push,0,0,1,1,69.9650526279877,46.977556840321995,18.821692730876915,4.3858118640429735,0.0025273235346482265,110506.85059879118,110204.92367776643,0.303,0.35,0.874
2025-10-24T04:15:00Z,SOL/USDT,192.78,ADX_gray_push,1,0,1,1,59.449488825662336,-0.07792390314467545,21.796956236394774,1.7996283818715326,0.004673062981634783,191.7885166982237,190.97741094306434,0.944,0.944,2.189
2025-10-24T04:15:00Z,ETH/USDT,3918.7,ADX_gray_push,0,0,1,1,72.86149597534168,3.607316938757509,19.60184850180637,2.142635192058116,0.003355436721823893,3880.7186596118636,3869.5958143735133,1.564,1.799,2.748
2025-10-24T04:00:00Z,ETH/USDT,3899.17,ADX_gray_push,0,0,1,1,66.2246167031769,2.370150333079444,17.41025625027932,0.9136458887000731,0.003182635877445275,3876.7206237815335,3867.591561898963,2.072,2.309,3.263
2025-10-24T03:00:00Z,BTC/USDT,110491.47,ADX_gray_push,0,0,1,1,56.39418364638547,22.701330996693372,17.215590802119966,0.7174905819496963,0.0023856907103584155,110333.44098340187,110073.0304877776,0.126,0.933,1.46
2025-10-24T02:45:00Z,BTC/USDT,110570.12,ADX_gray_push,0,0,1,1,58.859533091814605,34.14188553100951,17.16600700555866,0.8698373736736313,0.002434667096833313,110316.80635007576,110055.95132401343,0.235,0.861,1.388
2025-10-24T01:00:00Z,BTC/USDT,110500.29,ADX_gray_push,0,0,1,1,62.68194018107316,62.46130493090912,17.51800752050256,0.9243115460690917,0.0025552476066527307,110129.86918002687,109915.77649709539,0.15,0.925,1.452
2025-10-23T17:15:00Z,BTC/USDT,110206.45,ADX_gray_push,0,0,1,1,60.97414979872992,52.270033441526834,20.223768218445226,0.47387956376416157,0.0038665512244306114,109726.82978760089,109377.3244692749,0.986,0.986,1.723
